order_id,line_no,sku_id,qty,order_time,pick_start,pick_end,check_time,ship_time,loc_id,picker
SO202606010001,1,SKU0076,2,2026-06-01 08:01:20,2026-06-01 08:16:13,2026-06-01 08:17:51,2026-06-01 08:19:17,2026-06-01 08:38:02,L0680,刘楠
SO202606010002,1,SKU0317,4,2026-06-01 08:01:21,2026-06-01 08:32:24,2026-06-01 08:34:15,2026-06-01 08:35:45,2026-06-01 08:52:16,L0677,魏斌
SO202606010002,2,SKU0493,2,2026-06-01 08:01:56,2026-06-01 08:31:37,2026-06-01 08:32:02,2026-06-01 08:33:14,2026-06-01 09:08:31,L0087,孙桂英
SO202606010003,1,SKU0168,4,2026-06-01 08:02:17,2026-06-01 08:14:44,2026-06-01 08:16:42,2026-06-01 08:17:37,2026-06-01 08:42:31,L0792,刘艳
SO202606010004,1,SKU0286,3,2026-06-01 08:04:44,2026-06-01 08:16:49,2026-06-01 08:18:11,2026-06-01 08:19:13,2026-06-01 08:31:23,L0501,张晨
SO202606010004,2,SKU0368,4,2026-06-01 08:04:31,2026-06-01 08:22:53,2026-06-01 08:24:18,2026-06-01 08:25:29,2026-06-01 08:45:29,L0583,陈云
SO202606010004,3,SKU0206,4,2026-06-01 08:04:04,2026-06-01 08:43:55,2026-06-01 08:45:43,2026-06-01 08:46:20,2026-06-01 09:23:22,L0760,阎玉梅
SO202606010005,1,SKU0145,5,2026-06-01 08:06:34,2026-06-01 08:41:28,2026-06-01 08:43:21,2026-06-01 08:44:37,2026-06-01 09:26:34,L0800,李辉
SO202606010006,1,SKU0479,5,2026-06-01 08:07:27,2026-06-01 08:35:42,2026-06-01 08:36:47,2026-06-01 08:38:19,2026-06-01 09:13:44,L0268,李英
SO202606010006,2,SKU0025,2,2026-06-01 08:07:43,2026-06-01 08:22:23,2026-06-01 08:24:12,2026-06-01 08:25:12,2026-06-01 08:58:55,L0718,李英
SO202606010006,3,SKU0089,2,2026-06-01 08:07:23,2026-06-01 08:32:39,2026-06-01 08:34:12,2026-06-01 08:35:31,2026-06-01 09:12:59,L0707,张瑜
SO202606010007,1,SKU0396,5,2026-06-01 08:13:14,2026-06-01 08:35:16,2026-06-01 08:36:32,2026-06-01 08:37:39,2026-06-01 08:50:40,L0189,田桂兰
SO202606010007,2,SKU0203,3,2026-06-01 08:13:13,2026-06-01 08:35:03,2026-06-01 08:36:58,2026-06-01 08:37:31,2026-06-01 09:05:42,L0640,唐海燕
SO202606010008,1,SKU0121,5,2026-06-01 08:14:31,2026-06-01 08:41:57,2026-06-01 08:43:16,2026-06-01 08:44:13,2026-06-01 09:12:59,L0622,田桂兰
SO202606010008,2,SKU0110,1,2026-06-01 08:14:59,2026-06-01 08:32:44,2026-06-01 08:33:47,2026-06-01 08:34:56,2026-06-01 09:17:46,L0151,刘艳
SO202606010008,3,SKU0203,1,2026-06-01 08:14:27,2026-06-01 08:36:36,2026-06-01 08:38:19,2026-06-01 08:39:40,2026-06-01 08:45:17,L0640,魏斌
SO202606010009,1,SKU0210,2,2026-06-01 08:16:08,2026-06-01 08:43:46,2026-06-01 08:44:58,2026-06-01 08:46:01,2026-06-01 09:29:50,L0730,张晨
SO202606010010,1,SKU0049,1,2026-06-01 08:18:49,2026-06-01 08:36:45,2026-06-01 08:38:28,2026-06-01 08:39:20,2026-06-01 09:13:23,L0751,李辉
SO202606010010,2,SKU0168,2,2026-06-01 08:18:18,2026-06-01 08:54:42,2026-06-01 08:56:27,2026-06-01 08:57:10,2026-06-01 09:03:04,L0792,姜琳
SO202606010010,3,SKU0257,2,2026-06-01 08:18:25,2026-06-01 08:57:32,2026-06-01 08:59:10,2026-06-01 09:00:31,2026-06-01 09:26:16,L0715,张瑜
SO202606010011,1,SKU0214,4,2026-06-01 08:23:50,2026-06-01 08:52:10,2026-06-01 08:53:51,2026-06-01 08:54:52,2026-06-01 09:02:40,L0676,陈云
SO202606010012,1,SKU0009,1,2026-06-01 08:26:06,2026-06-01 09:05:47,2026-06-01 09:06:50,2026-06-01 09:08:06,2026-06-01 09:37:14,L0230,田桂兰
SO202606010012,2,SKU0306,5,2026-06-01 08:26:07,2026-06-01 08:58:51,2026-06-01 09:00:15,2026-06-01 09:01:10,2026-06-01 09:24:14,L0398,黄利
SO202606010013,1,SKU0206,4,2026-06-01 08:26:12,2026-06-01 08:59:23,2026-06-01 09:01:14,2026-06-01 09:02:38,2026-06-01 09:38:32,L0760,梁波
SO202606010013,2,SKU0257,3,2026-06-01 08:26:22,2026-06-01 09:01:35,2026-06-01 09:03:11,2026-06-01 09:04:12,2026-06-01 09:32:23,L0715,姜琳
SO202606010014,1,SKU0383,5,2026-06-01 08:27:51,2026-06-01 09:02:01,2026-06-01 09:03:41,2026-06-01 09:04:23,2026-06-01 09:40:50,L0747,黄利
SO202606010015,1,SKU0145,5,2026-06-01 08:31:38,2026-06-01 08:53:21,2026-06-01 08:55:28,2026-06-01 08:56:37,2026-06-01 09:16:22,L0800,孙桂英
SO202606010015,2,SKU0234,5,2026-06-01 08:31:46,2026-06-01 08:59:20,2026-06-01 09:00:23,2026-06-01 09:01:45,2026-06-01 09:41:02,L0682,张瑜
SO202606010016,1,SKU0214,5,2026-06-01 08:32:20,2026-06-01 08:52:23,2026-06-01 08:54:13,2026-06-01 08:55:54,2026-06-01 09:35:34,L0676,刘艳
SO202606010017,1,SKU0198,4,2026-06-01 08:34:24,2026-06-01 09:01:42,2026-06-01 09:03:14,2026-06-01 09:05:02,2026-06-01 09:36:15,L0478,刘楠
SO202606010017,2,SKU0435,1,2026-06-01 08:34:24,2026-06-01 08:59:53,2026-06-01 09:00:45,2026-06-01 09:01:51,2026-06-01 09:17:24,L0186,刘艳
SO202606010017,3,SKU0192,1,2026-06-01 08:34:06,2026-06-01 09:22:49,2026-06-01 09:24:27,2026-06-01 09:25:42,2026-06-01 10:10:21,L0475,田桂兰
SO202606010018,1,SKU0033,1,2026-06-01 08:34:33,2026-06-01 09:02:38,2026-06-01 09:04:19,2026-06-01 09:05:30,2026-06-01 09:43:13,L0797,黄利
SO202606010019,1,SKU0139,4,2026-06-01 08:39:19,2026-06-01 08:59:23,2026-06-01 09:00:48,2026-06-01 09:01:58,2026-06-01 09:41:01,L0662,姜琳
